CV,superficie_km2,typo_CV_densite,LOGS_TOT,LOGS_ACHL16111,pct_LOGS_LOGS_ACHL16111,NIVGEO,LIBGEO,grossesbetes,moyenne,ecart_type,min,max,D1,D9,C05,C95,ecart_D1_D9,ecart_C95_C05,ecart_minmax,val_NORRR1MM_TOT_m,val_NORRR_TOT,pct_EAU,pct_FORETS,densite_grossesbetes,score_vieuxlogements,score_grossesbetes,score_pluie,score_declivite,score_OS_eau,score_OS_forets,x,y,LIBGEO_conv
0101,218.851539500005,D,14081.2645637383,2901.0096552567,0.206019114414433,CV,Ambérieu-en-Bugey,2658.96049535677,449.391814802773,194.616748827651,213.75,1014.71997070312,233.690002441406,736.824011230469,227.389999389648,786.476977539062,503.134008789063,559.086978149415,800.96997070312,11.8183041604049,1411.42346891468,0.00294115003305668,0.519124865709755,12.1496083666193,2,1,4,4,1,4,5.40154302134683,45.9525104123641,Amb&eacute;rieu-en-Bugey
0102,275.284352500062,PD,10220.5073490727,2005.49258263274,0.196222409919279,CV,Attignat,17535.2932010868,212.756414258415,12.3412457160215,184.190002441406,266.100006103516,197,227,193,236.800003051758,30,43.800003051758,81.91000366211,11.1380928122806,962.976821860736,0.0101159755007782,0.122674656274325,63.6988373724685,2,4,3,0,3,1,5.12384739882514,46.3011692830487,Attignat
0103,225.549722499989,D,10228.2475740229,1688.47907322595,0.165079996451616,CV,Bellegarde-sur-Valserine,2915.34942092557,805.645002718114,297.745070081216,259.070007324219,1607.5,445.5,1204.80004882813,393.655009460449,1278.93600463867,759.30004882813,885.280995178221,1348.42999267578,11.8252240419004,1571.84469635239,0.00435286039814643,0.618903907309102,12.9255287420082,1,1,4,4,2,4,5.78493425200015,46.1215283536369,Bellegarde-sur-Valserine
0104,311.90298799999,PD,11947.8265362932,3607.29751543436,0.30192081417291,CV,Belley,5239.41172305083,362.853292204876,153.115416917634,204.199996948242,1210.46997070313,229.119995117188,576.103985595704,220.830001831055,719.9294921875,346.983990478516,499.099490356445,1006.26997375489,10.9720488937421,1344.69942136573,0.0365552595900743,0.510556623729366,16.7982094581633,3,2,3,4,4,4,5.66792704330566,45.7630170571319,Belley
0105,45.2635300000004,PD,2696.27332007911,339.126531091666,0.125776021505756,CV,Bourg-en-Bresse-1,848.448745956748,229.930290239219,11.6601738373267,206.300003051758,264.600006103516,213,245.690002441406,210.690002441406,248.889999389648,32.690002441406,38.199996948242,58.300003051758,11.0199551991177,959.168394373251,0.00729129975439276,0.201892298886086,18.7446437773797,1,2,3,0,2,2,5.21886487504459,46.2521696725251,Bourg-en-Bresse-1
0106,37.8471115000025,D,5640.874123404,302.828185576121,0.0536846203179195,CV,Bourg-en-Bresse-2,2363.20491228077,241.254678056047,14.5088438403015,209,277.600006103516,221.389999389648,261.390014648438,217.800003051758,265.635008239746,40.00001525879,47.8350051879882,68.600006103516,11.1318268211839,969.44954801623,0.0278550009075432,0.214201926425066,62.4408262247601,0,4,3,0,4,2,5.19720350304742,46.1844630408208,Bourg-en-Bresse-2
0107,385.085371000001,PD,10751.7703060935,2614.8876952591,0.24320531603778,CV,Ceyzériat,9202.22367578465,282.801209838471,35.049378392852,216.389999389648,583.440002441406,251.190002441406,310.790008544922,245.5,331.461495971679,59.600006103516,85.9614959716794,367.050003051758,11.1709173014169,1013.76928453712,0.0580485971206057,0.297505805737748,23.8965807812643,3,2,3,2,4,3,5.21507828850193,46.0733312511318,Ceyz&eacute;riat
0108,357.201902000011,PD,12945.3600802772,3785.50823773879,0.292422011768229,CV,Châtillon-sur-Chalaronne,11760.5156716567,242.18294009932,31.5042468091535,166.960006713867,290.5,187.039993286133,274.890014648438,172.949996948242,278.390014648438,87.850021362305,105.440017700196,123.539993286133,11.0128416792412,953.728518667812,0.0607652063988261,0.140503424007178,32.9240007004676,3,3,3,1,4,1,4.96043410385089,46.1272825698388,Ch&acirc;tillon-sur-Chalaronne
0109,97.9689240000136,D,14276.4471359599,1112.85596307943,0.0779504839321222,CV,Gex,2581.28318706242,808.391468971664,332.443032757866,437.600006103516,1604.90002441406,476.600006103516,1352.39002685547,468.600006103516,1401.69995117188,875.790020751951,933.099945068364,1167.30001831054,11.7931118691259,1567.73266583091,0.00361435166718932,0.557834130168138,26.3479793558013,0,2,4,4,1,4,6.08478723337242,46.349482067499,Gex
0110,630.043445500003,PD,12806.1000918933,4415.58780485696,0.344803474373293,CV,Hauteville-Lompnes,14135.5031091345,812.092973159094,253.132135684908,229.869995117188,1528.19995117188,441.674993896484,1124.09096679687,277.989990234375,1195.641015625,682.415972900389,917.651025390622,1298.32995605469,12.2041965374243,1654.70417973018,0.00675428783968136,0.587503063967043,22.4357593275437,4,2,4,4,2,4,5.64465892029232,45.9749201963103,Hauteville-Lompnes
0111,362.318714000006,PD,14395.0512477013,3411.17281137058,0.236968438157892,CV,Lagnieu,3419.00971669299,395.150008174336,254.85778549563,182.919998168945,1211.36999511719,197.378002929688,840.966015625,192.630004882813,905.811999511719,643.588012695312,713.181994628906,1028.44999694825,11.024341857425,1244.87673299019,0.0238107737988716,0.378164075864224,9.4364701147977,2,1,3,4,4,3,5.36494663321512,45.8371671956736,Lagnieu
0112,221.707509499997,D,12714.3773340875,1866.79337649872,0.146825387311246,CV,Meximieux,2044.36107741054,259.545682250748,35.7216150312201,180.100006103516,314.290008544922,202.919998168945,292.200012207031,193.710006713867,296.600006103516,89.280014038086,102.889999389649,134.190002441406,11.0916558638377,988.496485011277,0.0355422051577264,0.219104757934412,9.22098255499355,1,1,3,2,4,2,5.10797386416646,45.8989217967521,Meximieux
