id,gridarea,P10_POP,total_bovins,total_caprins,total_equides,total_ovins,total_porcins,lon,lat,type_pop_max,nb_max,typo_supPOP,typo_supPOP_lib,img,tip,tip_1,tip_img,tip_2
609,380352924.930771,32218.5513350909,18214.1742709771,205.58568733065,402.259500199749,2662.07681650517,33014.2521050421,449965.316823421,6249979.13921951,porcins,33014.2521050421,porcins,+ de porcins que d&#39humains,http://www.pngall.com/wp-content/uploads/2016/03/Pig-Transparent.png,"<img src = ""http://www.pngall.com/wp-content/uploads/2016/03/Pig-Transparent.png"" height=""50""width=""60""><br><b><font size=1.5 color=black>Plus gros cheptel : porcins</b></font><br><font size=1.5 color=black>+ de porcins que d&#39humains</font><br>",porcins<b><font size=2.5 color=black>Plus gros cheptel : porcins</b></font><br><font size=2.5 color=black>+ de porcins que d&#39humains</font><br>,"<img src = ""http://www.pngall.com/wp-content/uploads/2016/03/Pig-Transparent.png"" height=""50""width=""60"">",<b><font size=1.5 color=black>Cheptel le plus nombreux : porcins</b></font><br>
610,391786010.631929,66281.9999195641,12361.6795987199,5.42723911454599,375.667399451571,3315.29098586951,6454.1439863131,470048.27099565,6250048.68070038,humains,66281.9999195641,POP,,http://www.alloprof.qc.ca/BV/PublishingImages/pages/a0306/a306i29.png,"<img src = ""http://www.alloprof.qc.ca/BV/PublishingImages/pages/a0306/a306i29.png"" height=""50""width=""60""><br><b><font size=1.5 color=black>Plus gros cheptel : humains</b></font><br><font size=1.5 color=black></font><br>",humains<b><font size=2.5 color=black>Plus gros cheptel : humains</b></font><br><font size=2.5 color=black></font><br>,"<img src = ""http://www.alloprof.qc.ca/BV/PublishingImages/pages/a0306/a306i29.png"" height=""50""width=""60"">",<b><font size=1.5 color=black>Cheptel le plus nombreux : humains</b></font><br>
611,395855646.089086,8957.14751418328,17539.1761502021,193.581167826424,222.959567761976,4036.07162422739,15155.5481849558,489968.861227074,6249997.0563199,bovins,17539.1761502021,bovins_porcins,+ de bovins que d&#39humains<br> + de porcins que d&#39humains,http://www.pngall.com/wp-content/uploads/2016/03/Cow-PNG-11.png,"<img src = ""http://www.pngall.com/wp-content/uploads/2016/03/Cow-PNG-11.png"" height=""50""width=""60""><br><b><font size=1.5 color=black>Plus gros cheptel : bovins</b></font><br><font size=1.5 color=black>+ de bovins que d&#39humains<br> + de porcins que d&#39humains</font><br>",bovins<b><font size=2.5 color=black>Plus gros cheptel : bovins</b></font><br><font size=2.5 color=black>+ de bovins que d&#39humains<br> + de porcins que d&#39humains</font><br>,"<img src = ""http://www.pngall.com/wp-content/uploads/2016/03/Cow-PNG-11.png"" height=""50""width=""60"">",<b><font size=1.5 color=black>Cheptel le plus nombreux : bovins</b></font><br>
612,388654009.474299,8350.28777953229,17816.2334312493,289.915164077491,265.886476672921,4831.10986300541,4890.68580857807,509970.323379165,6249958.97670675,bovins,17816.2334312493,bovins,+ de bovins que d&#39humains,http://www.pngall.com/wp-content/uploads/2016/03/Cow-PNG-11.png,"<img src = ""http://www.pngall.com/wp-content/uploads/2016/03/Cow-PNG-11.png"" height=""50""width=""60""><br><b><font size=1.5 color=black>Plus gros cheptel : bovins</b></font><br><font size=1.5 color=black>+ de bovins que d&#39humains</font><br>",bovins<b><font size=2.5 color=black>Plus gros cheptel : bovins</b></font><br><font size=2.5 color=black>+ de bovins que d&#39humains</font><br>,"<img src = ""http://www.pngall.com/wp-content/uploads/2016/03/Cow-PNG-11.png"" height=""50""width=""60"">",<b><font size=1.5 color=black>Cheptel le plus nombreux : bovins</b></font><br>
613,393110480.992523,10990.375834584,13491.0493420548,279.425864821157,388.663586071293,4520.10968988168,2441.5174933167,529932.242364136,6249995.69566923,bovins,13491.0493420548,bovins,+ de bovins que d&#39humains,http://www.pngall.com/wp-content/uploads/2016/03/Cow-PNG-11.png,"<img src = ""http://www.pngall.com/wp-content/uploads/2016/03/Cow-PNG-11.png"" height=""50""width=""60""><br><b><font size=1.5 color=black>Plus gros cheptel : bovins</b></font><br><font size=1.5 color=black>+ de bovins que d&#39humains</font><br>",bovins<b><font size=2.5 color=black>Plus gros cheptel : bovins</b></font><br><font size=2.5 color=black>+ de bovins que d&#39humains</font><br>,"<img src = ""http://www.pngall.com/wp-content/uploads/2016/03/Cow-PNG-11.png"" height=""50""width=""60"">",<b><font size=1.5 color=black>Cheptel le plus nombreux : bovins</b></font><br>
614,390508408.59512,32595.4902713224,7889.9347732162,80.500478899074,364.27450927024,2955.44825260695,331.030948682977,549960.32274217,6250030.34189831,humains,32595.4902713224,POP,,http://www.alloprof.qc.ca/BV/PublishingImages/pages/a0306/a306i29.png,"<img src = ""http://www.alloprof.qc.ca/BV/PublishingImages/pages/a0306/a306i29.png"" height=""50""width=""60""><br><b><font size=1.5 color=black>Plus gros cheptel : humains</b></font><br><font size=1.5 color=black></font><br>",humains<b><font size=2.5 color=black>Plus gros cheptel : humains</b></font><br><font size=2.5 color=black></font><br>,"<img src = ""http://www.alloprof.qc.ca/BV/PublishingImages/pages/a0306/a306i29.png"" height=""50""width=""60"">",<b><font size=1.5 color=black>Cheptel le plus nombreux : humains</b></font><br>
615,392481674.559205,46020.64020147,4826.1095383365,261.925238754551,394.9229374728,2619.00897542826,386.517331298516,570049.664840477,6249943.90781299,humains,46020.64020147,POP,,http://www.alloprof.qc.ca/BV/PublishingImages/pages/a0306/a306i29.png,"<img src = ""http://www.alloprof.qc.ca/BV/PublishingImages/pages/a0306/a306i29.png"" height=""50""width=""60""><br><b><font size=1.5 color=black>Plus gros cheptel : humains</b></font><br><font size=1.5 color=black></font><br>",humains<b><font size=2.5 color=black>Plus gros cheptel : humains</b></font><br><font size=2.5 color=black></font><br>,"<img src = ""http://www.alloprof.qc.ca/BV/PublishingImages/pages/a0306/a306i29.png"" height=""50""width=""60"">",<b><font size=1.5 color=black>Cheptel le plus nombreux : humains</b></font><br>
616,393353963.618323,22058.13073505,2782.82077501528,15.3541358980014,310.313020904843,1378.33268769672,2431.46837158746,589945.110917714,6250073.47530865,humains,22058.13073505,POP,,http://www.alloprof.qc.ca/BV/PublishingImages/pages/a0306/a306i29.png,"<img src = ""http://www.alloprof.qc.ca/BV/PublishingImages/pages/a0306/a306i29.png"" height=""50""width=""60""><br><b><font size=1.5 color=black>Plus gros cheptel : humains</b></font><br><font size=1.5 color=black></font><br>",humains<b><font size=2.5 color=black>Plus gros cheptel : humains</b></font><br><font size=2.5 color=black></font><br>,"<img src = ""http://www.alloprof.qc.ca/BV/PublishingImages/pages/a0306/a306i29.png"" height=""50""width=""60"">",<b><font size=1.5 color=black>Cheptel le plus nombreux : humains</b></font><br>
617,384982558.572665,27022.6742983578,2157.24955671813,120.236628871234,147.476988377969,5455.00118701147,5725.03617665163,609943.453386685,6249973.51752911,humains,27022.6742983578,POP,,http://www.alloprof.qc.ca/BV/PublishingImages/pages/a0306/a306i29.png,"<img src = ""http://www.alloprof.qc.ca/BV/PublishingImages/pages/a0306/a306i29.png"" height=""50""width=""60""><br><b><font size=1.5 color=black>Plus gros cheptel : humains</b></font><br><font size=1.5 color=black></font><br>",humains<b><font size=2.5 color=black>Plus gros cheptel : humains</b></font><br><font size=2.5 color=black></font><br>,"<img src = ""http://www.alloprof.qc.ca/BV/PublishingImages/pages/a0306/a306i29.png"" height=""50""width=""60"">",<b><font size=1.5 color=black>Cheptel le plus nombreux : humains</b></font><br>
618,391681203.651488,15872.5402860248,5380.42578591077,126.611729013512,252.043118092294,14694.7623842505,6949.46078268321,630008.118858175,6249960.97743318,humains,15872.5402860248,POP,,http://www.alloprof.qc.ca/BV/PublishingImages/pages/a0306/a306i29.png,"<img src = ""http://www.alloprof.qc.ca/BV/PublishingImages/pages/a0306/a306i29.png"" height=""50""width=""60""><br><b><font size=1.5 color=black>Plus gros cheptel : humains</b></font><br><font size=1.5 color=black></font><br>",humains<b><font size=2.5 color=black>Plus gros cheptel : humains</b></font><br><font size=2.5 color=black></font><br>,"<img src = ""http://www.alloprof.qc.ca/BV/PublishingImages/pages/a0306/a306i29.png"" height=""50""width=""60"">",<b><font size=1.5 color=black>Cheptel le plus nombreux : humains</b></font><br>
