CV,moyenne,ecart_type,min,max,D1,D9,C05,C95,ecart_D1_D9,ecart_C95_C05,ecart_minmax
4904,39.2408307088734,14.3314852077019,15.1899995803833,72.8000030517578,18.9939998626709,56.5,17.5,59.7999992370606,37.5060001373291,42.2999992370606,57.6100034713745
4905,31.3325063918785,13.7461756368416,15.0900001525879,66.8000030517578,15.6099996566772,52.2000007629395,15.4200000762939,56.1649999618529,36.5900011062623,40.7449998855589,51.7100028991699
4906,40.556837565347,15.3938173734498,15.1199998855591,98.0999984741211,21.0599994659424,61.9000015258789,17.8700008392334,69.0999984741211,40.8400020599365,51.2299976348877,82.979998588562
4907,26.2241600830196,9.94285847732657,-6.88000011444092,74.5999984741211,18.0400009155273,39.4000015258789,17.6399993896484,47.5999984741211,21.3600006103516,29.9599990844727,81.479998588562
4908,63.9136743958036,22.7162301894722,17.0599994659424,118.800003051758,28.8999996185303,87.5999984741211,21.75,93.3000030517578,58.6999988555908,71.5500030517578,101.740003585816
4909,93.5736768638098,18.1278217040719,12.8999996185303,164,70.8000030517578,112.800003051758,59.2999992370606,119.099998474121,42.0000000000002,59.7999992370604,151.10000038147
4910,51.5019931662955,21.5431608400513,-12.8999996185303,104.400001525879,14.7799997329712,76.3000030517578,13.1599998474121,81.8000030517578,61.5200033187866,68.6400032043457,117.300001144409
4911,90.1551997444508,30.7513627161622,6,217,56.7000007629395,120.599998474121,45.0999984741211,154,63.8999977111815,108.900001525879,211
4913,126.354615127977,32.7363350651232,26.3999996185303,213.800003051758,82.9000015258789,169.399993896484,71.9000015258789,177.899993896484,86.4999923706051,105.999992370605,187.400003433228
4914,62.6366200914184,19.0003518555922,20.4300003051758,111,36.9000015258789,89.8000030517578,33.2900009155273,93.9000015258789,52.9000015258789,60.6100006103516,90.5699996948242
4915,47.246272962795,26.3960574393393,18.8199996948242,119.199996948242,22.6100006103516,92.5999984741211,21.5200004577637,103,69.9899978637695,81.4799995422363,100.379997253418
4916,65.8366414548578,35.3880936874352,-82.5999984741211,173.800003051758,10.710000038147,103,8.59000015258789,117.704997253417,92.289999961853,109.11499710083,256.400001525879
4917,48.4038711996321,20.8696812307538,13.9899997711182,95.5999984741211,18.7900009155273,76.1999969482422,17.6299991607666,80.8000030517578,57.4099960327149,63.1700038909912,81.6099987030029
4918,95.8488303658661,19.4855903677928,20.1000003814697,140.899993896484,71.5999984741211,120.990000152588,60.7000007629395,126.900001525879,49.390001678467,66.2000007629395,120.799993515014
